"","geo_type","region","transportation_type","alternative_name","2020-01-13","2020-01-14","2020-01-15","2020-01-16","2020-01-17","2020-01-18","2020-01-19","2020-01-20","2020-01-21","2020-01-22","2020-01-23","2020-01-24","2020-01-25","2020-01-26","2020-01-27","2020-01-28","2020-01-29","2020-01-30","2020-01-31","2020-02-01","2020-02-02","2020-02-03","2020-02-04","2020-02-05","2020-02-06","2020-02-07","2020-02-08","2020-02-09","2020-02-10","2020-02-11","2020-02-12","2020-02-13","2020-02-14","2020-02-15","2020-02-16","2020-02-17","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-22","2020-02-23","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03"
"1","country/region","Albania","driving",NA,100,95.3,101.43,97.2,103.55,112.67,104.83,94.39,94.07,93.51,92.94,102.13,102.38,101.41,94.62,89.12,90.17,90.21,97.71,102.5,108.92,92.82,91.48,93.99,96.72,102.46,103.29,107.83,87.99,94.18,94.62,99.7,139.3,123.9,129.41,102.24,88.09,88.17,94.48,100.62,111.02,113.5,86.95,83.01,85.44,82.73,89.7,95.48,100.43,89.25,91.02,89.72,94.87,102.82,109.92,110.07,79.68,68.24,51.77,43.79,24.99,24.61,30.93,24.69,24.95,24.65,24.5,26.31,20.39,19.29,22.62,21.61,21.98,23.07,23.94,19.49,21.78,23.66,25.11,25.02,25.2,24.11,20.54,22.54,26.4,26.03,26.43,26.7,26.32,25.47,24.89,32.64,31.43,30.67,30,29.26,22.94,24.55,31.51,33.59,31.69,33.94,30.22,25.22,30.39,37.39,36.69,35.9,38.09,37.23,29.36,36
"3","country/region","Argentina","driving",NA,100,97.07,102.45,111.21,118.45,124.01,95.44,95.13,95.42,97.66,99.42,113.34,118.23,91.31,93.37,91.12,92.35,96.74,111.24,123.96,89.01,91.66,89.18,94.49,95.98,111.12,121.53,89.23,96.42,96.97,101.68,104.9,122.91,127.62,88.2,92.28,98.15,98.96,104.71,132.57,141.76,108.21,107.92,99.51,96.38,97.96,116.77,117.72,81.13,86.76,88.9,92.74,97.45,118.32,122.78,80.36,89.28,89.29,82.73,86.67,98.75,84.77,47.7,53.57,45.44,43.21,43.9,16.77,12.54,8.74,10.08,10.76,14.86,14.58,15.45,13.34,9.92,14.59,12.65,15.79,16.48,17.15,15.13,11.53,17.24,18.55,19.95,19.8,16.8,19.4,12.89,21.1,22.29,23.55,24.4,27.17,23.19,14.54,26.67,27.25,27.61,28.73,30.99,25.92,16.57,27.45,27.12,32.22,34.45,22.69,28.23,16.44
"5","country/region","Australia","driving",NA,100,102.98,104.21,108.63,109.08,89,99.35,103.53,106.8,107.4,115.65,109.66,88.59,85.18,95.91,99.4,99.92,103.04,103.73,85.73,93.39,95.83,98.63,102.4,107.46,106.55,86.33,98.78,100.08,103.28,106.19,116.62,115.36,93.51,98.27,101.79,105.38,107.29,113.37,118.25,97.6,97.5,102.7,104.46,106.23,113.6,117.64,98.24,97.35,99.14,101.63,106.02,113.97,113.49,93.23,91.21,96.44,99.94,100.79,102.79,98.75,78.16,81.59,80.52,78.87,79.24,83.55,78.17,60.74,66.41,62.49,60.19,57.96,59.9,48.25,36.69,51.18,51.92,52.04,51.54,54.23,41.58,33.34,51.75,53.17,55.01,59.24,33.19,36,26.95,31.72,53.14,55.91,56.56,58.77,47.51,36.9,53.34,56.93,58.06,59.69,62.87,47.84,41.89,55.39,59.09,59.46,59.46,63.12,58.4,48.67,58.18
"8","country/region","Austria","driving","Österreich",100,101.14,104.24,112.21,117.23,117.22,105.17,100.7,102.67,104.33,107.89,123.67,119.39,105.55,104.42,106.42,106.1,108.47,125.62,134.87,109.33,109.04,107.88,110.15,107.4,127.94,146.79,116.74,109.94,112.72,113.59,116.37,145.47,158.95,120.22,113.56,113.49,117.98,117.11,142.35,156.99,114.15,111.17,109,108.98,113.71,138.1,130.25,106.13,103.21,104.24,111.11,111.25,123.46,121.17,109.52,102.15,98.85,92.94,86.76,86.98,64.33,49.07,40.52,37.03,37.41,36.14,34.41,24.83,27.11,33.29,33.44,33.69,34.36,35.61,32.88,32.93,35.85,38.57,39.62,40.34,38.34,33.05,39.2,44.15,46.62,47.85,48.81,45.09,36.78,35.06,42.33,51.14,53.88,56.02,54.07,45.63,45.82,58.87,59.22,60.21,60.76,57.52,50.31,57.18,60.96,62.63,62.29,64.44,61.2,62.46,66.38
"10","country/region","Belgium","driving","België",100,101.19,107.49,107.67,117.38,119.32,102.68,103.67,107.83,110,108.65,116.76,120.76,104.16,105.12,106.85,111.21,112.96,127.96,122.89,104.88,106.02,109.17,111.05,111.1,123.19,129.25,97.76,109.52,111.55,115.6,118.19,131.29,135.91,110.6,115.29,120.26,121.9,123.29,133.24,123.59,105.29,116.44,116.56,118.01,117.4,125.62,119.54,103.95,107.71,108.25,115.66,118.33,127.52,129.93,107.09,108.15,105.81,105.97,87.63,81.16,63.44,56.86,60.42,56.34,44.1,38.45,36.98,32.06,32.36,36.3,38.73,38.62,39.03,40.38,35.25,29.76,37.08,39,40.52,39.51,41.05,38.02,38.44,43.29,46.58,48.56,49.18,51.57,47.49,37.88,37.2,46.52,49.42,51.74,50.94,41.76,44.35,50.04,51.51,54.36,54.25,52.29,49.02,49.02,52.77,51.69,54.59,54.06,48.03,50.82,54.76
"13","country/region","Brazil","driving","Brasil",100,99.71,100.9,101.88,113.69,114.38,91.06,97.54,98.14,97.91,98.51,109.53,111.8,88.93,92.86,95.19,94.85,96.31,109.54,109.56,83.8,92.5,92.97,93.75,96.35,114.55,117.52,86.93,99.25,95.71,98.43,98.92,115.44,123.46,92.31,95.54,99.59,102.06,109.38,141.63,140.3,103.13,102.5,99.46,92.81,91.16,101.9,107.46,77.97,88.51,90.22,92.18,95.49,110.82,118.71,82.64,90.32,92.92,92.58,89.66,103.57,106.68,71.69,70.59,64.88,58.47,52.15,51.7,39.66,27.58,34.89,34.84,35.26,37.57,42.94,41.63,30.76,40.12,41.85,44.28,45.51,50.52,50.88,35.1,45.53,48.59,51.93,58.89,44.88,58.22,36.49,46.79,47.91,49.89,50.47,56.91,56.26,38.14,51.62,45.15,53.67,55.04,59.39,59.43,40.2,51.35,54.57,56.02,64.63,55.37,58.58,42.66
"16","country/region","Bulgaria","driving","България",100,102.56,104.73,104.35,114.79,118.01,105.42,100.78,99.44,103.52,106.11,118.01,123.61,112.36,102.6,102.95,107.2,105.02,118.7,122.25,113.09,102.09,104.35,111.79,97.18,111.27,113.83,110.75,102.03,102.69,108.41,108.77,134.88,129.46,123.85,104.85,107.76,114.6,120.04,126.35,132.23,119.83,101.6,103.94,106.47,103.06,121.15,113.93,101.15,101.83,111.62,98.99,100.55,112.56,113.53,96.33,90.09,85.71,82.45,74.9,74.46,56.39,45.54,45.27,44.11,41.94,39.19,41.18,29.8,25.56,28.09,28.26,28.64,30.36,30.65,26.64,26.03,31.88,32.46,30.42,31.36,33.57,28.45,27.96,35.76,37.22,36.73,39.01,40.24,36.59,32.36,40.59,40.55,41.32,43.73,33.27,28.31,27.52,32.58,37.19,39.51,41.93,42.84,41.18,36.21,44.7,47.96,46.28,49.24,46.78,41.67,40.29
"18","country/region","Cambodia","driving","ព្រះរាជាណាចក្រកម្ពុជា",100,100.75,99.33,96,98.78,103.64,99.16,97.65,96.87,95.13,81.87,86.56,94.24,93.33,90.41,92.44,91.72,89.73,96.11,103.22,91.61,88.75,91.67,90.77,91.23,100.48,103.82,91.43,90.71,91.53,92.78,98.96,107.46,97.93,89.71,89.75,89.44,88.2,91.65,98.62,97.68,88.91,85.88,85.51,85.04,74.09,76.42,78.2,71.41,70.89,71.91,69.82,69.35,72.68,72.28,67.53,63.06,63.34,56.33,48.49,49.14,45.88,42.68,39.81,34.71,33.31,33.16,33.23,32.71,31.25,30.71,27.84,29.27,28.76,28.59,28.92,29.03,29.47,29.56,29.22,28.82,29.71,29.66,30.57,30.83,28.91,29.96,26.31,27.3,26.96,24.13,24.08,25.14,25.29,28.68,30.84,31.03,32,31.94,32.07,31.81,32.56,33.82,33.73,32.61,34.69,33.18,33.48,38.62,35.93,34.23,35.34
"20","country/region","Canada","driving",NA,100,102.91,99.74,105.17,122.34,102.5,84.46,102.63,104.31,107.37,110.29,127.88,116.84,88.06,98.11,102.75,104.73,109,129.2,119.47,88.42,97.41,100.25,103.6,105.72,120.32,118.1,92.45,104.41,107.15,108.19,115.97,140.55,125.71,103.84,95.14,111.82,113.99,119.01,136.41,128.05,98.89,102.34,107.2,104.04,105.22,131.32,125.25,96.88,105.19,110.89,112.29,117.74,128.31,119.48,95.1,102.06,103.97,103.94,100.22,101.24,87.16,68.17,74.1,67.21,63.91,62.16,63.93,53.45,41.73,49.42,48.66,47.57,46.94,52.63,43.08,36.69,45.01,47.15,48.1,47.17,51.71,44.5,36.1,47.06,48.1,50.81,56.31,45.48,47.79,35.19,44.73,52.28,54.67,56.14,61.27,54.89,45.1,58.27,57.54,59.5,62.07,69.4,61.33,49.16,62.59,64.78,66.72,68.45,78.5,68.25,58.95
"23","country/region","Chile","driving",NA,100,99.01,102.57,106.47,124.69,120.83,97.12,102.53,101.57,102.41,107.31,124.15,118.81,99.66,107.13,102.57,101.5,106.61,131.48,129.34,102.43,112.31,109.69,113.49,117.69,139.24,135.2,111.81,122.24,115.22,116.03,123.72,147.07,133.92,109.45,121.37,114.62,116.11,118.84,136.88,128.4,101.01,107.67,106.95,105.08,111.11,131.65,123.39,84.09,95.14,94.83,95.54,95.79,114.72,111.25,68.99,88.41,95.9,93.92,91.16,109.18,100.69,58.2,60.99,51.77,45.09,39.39,39.39,28.94,19.38,30.37,32.12,31.74,37.77,28.19,23.85,18.98,27.89,29.93,30.84,31.75,32.62,28.03,22.3,32,34.63,35.2,36.45,25.1,26.52,20.39,36.29,36.02,37.14,36.81,42.7,35.36,26.29,39.9,41.09,42.97,43.45,46.93,39.87,28.84,40.8,42.77,45.98,51.9,35.45,41,30.36
