"","geo_type","region","transportation_type","alternative_name","2020-01-13","2020-01-14","2020-01-15","2020-01-16","2020-01-17","2020-01-18","2020-01-19","2020-01-20","2020-01-21","2020-01-22","2020-01-23","2020-01-24","2020-01-25","2020-01-26","2020-01-27","2020-01-28","2020-01-29","2020-01-30","2020-01-31","2020-02-01","2020-02-02","2020-02-03","2020-02-04","2020-02-05","2020-02-06","2020-02-07","2020-02-08","2020-02-09","2020-02-10","2020-02-11","2020-02-12","2020-02-13","2020-02-14","2020-02-15","2020-02-16","2020-02-17","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-22","2020-02-23","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03"
"2","country/region","Albania","walking",NA,100,100.68,98.93,98.46,100.85,100.13,82.13,95.65,97.78,95.39,94.24,93.73,97.06,77.27,83.37,82.73,84.39,88.19,90.79,88.7,79.32,87.12,88.06,99.4,85.84,94.63,99.74,81.41,90.19,90.45,94.16,95.69,109.21,108.4,84.52,96.63,87.38,81.49,87.21,93.52,94.5,74.8,87.25,81.41,77.78,74.5,81.19,87.97,78.42,94.88,95.65,91.13,94.46,103.8,92.92,82.47,87.25,63.37,46.7,37.87,31.43,37.78,37.44,35.95,30.87,33.56,36.84,32.62,27.12,22.64,25.93,25.88,25.42,23.03,28.27,24.69,20.26,22.9,25.93,23.5,26.65,27.76,24.9,23.92,31.13,25.8,29.81,28.96,27.29,27.63,29.59,35.52,38.08,35.48,39.15,34.58,27.76,27.93,36.72,34.46,35.39,34.8,34.63,29,35.22,41.83,37.53,41.49,38.25,38.68,32.28,43.41
"4","country/region","Argentina","walking",NA,100,95.11,101.37,112.67,116.72,114.14,84.54,101.37,106.12,104.91,102.56,104.88,98.83,73.64,94.27,93.86,92.2,96,98.99,97.42,67.21,95.18,96.25,100.39,99.1,105,106.45,73.12,104.2,105.87,111.47,113.2,128.75,103.47,69.12,93.42,111.49,107.02,111.36,124.13,120.44,100.5,96.6,82.59,107.79,110.62,124.18,108.49,68.5,101.01,104.39,108.23,113.92,126.7,112.81,70.94,109.38,109.62,83.06,106.85,104.31,70.31,43.64,51.55,35.57,31.96,29.97,11.75,9.11,6.96,8.36,8.05,10.92,10.53,11.3,10.73,7.77,11.37,9.79,11.78,11.23,12.44,10.97,9.12,11.85,13.49,15.51,14.65,13.58,15.75,10.45,16.35,16.66,17.42,18.18,18.8,17.03,10.59,18.44,19.01,18.47,20.39,22.32,23.31,16.36,18.48,17.49,22.78,24.8,16.62,20.61,12.44
"7","country/region","Australia","walking",NA,100,101.31,101.82,104.52,113.73,100.24,98.57,104.38,108.51,103.88,112.4,117.27,103.02,87.4,96.18,100.57,100.25,100.73,108.69,96.55,92.71,95.77,99.1,97.65,97.97,112.07,88.84,93.13,100.34,101.59,104.56,116.84,129.56,110.5,103.76,102.99,107.3,112.78,116.31,133.9,113.52,103.12,106,109.06,109.52,116.49,135.14,126.02,100.94,101.73,101.17,97.93,111.79,126.09,108.98,89.81,96.18,100.4,100.94,102.38,103.92,84.71,75.67,71.19,68.72,66.9,68.29,72.02,54.18,50.99,46.97,45.55,43.82,45.57,41.88,32.84,40.93,42.68,41.98,39.17,42.38,35.83,31.11,42.02,42.71,43.05,47.21,34.06,35.99,31.33,37.05,45.74,47.1,46.3,47.84,45.82,38.71,43.3,47.28,47.66,47.17,51.03,46.68,39.3,45.09,46.07,44.06,41.71,44.69,46.44,42.74,44.28
"9","country/region","Austria","walking","Österreich",100,101.55,105.59,112.24,123.36,131.05,89.93,100.6,103.3,105.28,110.89,132.87,136.57,92.99,105.8,105.38,107.8,113.19,132.21,148.15,101.66,106.52,106.85,105.75,106.66,126.55,142.55,103.86,110.43,114.55,114.2,123.11,148.29,165.31,113.75,125.35,127.47,125.25,132.26,142.4,166.41,114.7,125.95,125.66,115.47,122.28,129.96,134.42,98.99,111.8,110.27,112.82,120.92,133.87,136.39,97.8,104.56,98.53,93.87,89.3,68.36,55.3,36.38,28.86,25.53,31.77,32.53,32.38,18.54,20.63,23.85,25.22,23.88,25.66,31.85,35.26,27.22,25.06,28.08,31.19,32.78,31.95,31.59,39.51,36.79,39.81,40.71,41.69,40.48,38.8,39.48,33.92,35.47,41.26,45.58,45.03,43.04,32.29,44.2,44.93,47.59,48.07,44.41,43.01,48.66,44.67,47.74,40.06,46.55,46.62,49.18,46.38
"12","country/region","Belgium","walking","België",100,101.46,110.44,118.86,139.1,174.99,111.72,105.08,113.37,119.64,118.63,141.59,174.68,119.37,115.72,119.7,127.83,132.95,160.33,178.82,118.45,118.08,117.56,131.86,137.37,166.1,195.81,107.52,125.29,136.11,141.76,144.84,195.2,235.37,135.03,146.08,156.85,160.02,163.25,168.21,189.77,125.25,145.88,155.27,147.4,144.5,159.23,169.08,113.57,112.05,129.9,137.21,136.47,162.68,209.67,115.49,118.11,116.42,119.12,108.4,91.05,68.37,59.68,55.93,55.2,49.46,41.63,35.99,47.51,53.95,44.24,46.66,48.17,48.13,51.28,56.67,34.5,39.4,45.78,47.55,41.01,46.98,62.98,71.96,53.38,64.11,66.82,66.84,73.06,87.01,73.26,51.46,53.49,65.45,70.6,68.34,53.51,72.05,59.11,61.02,66.65,67.61,65.62,76.05,83.69,60.73,42.77,50.36,51.45,51.8,60.18,74.43
"15","country/region","Brazil","walking","Brasil",100,106.3,104.75,99.05,104.13,101.18,69.84,97.33,105.36,102.28,95.88,104.74,101.07,69.38,98.41,102.94,101.02,100.51,110.22,95.63,65.06,97.15,104.11,103.31,104.21,120.32,114.78,70.93,101.06,106.71,110.43,113.33,126.08,135.5,97.46,109.05,115.3,116.07,121.05,137.47,171.31,153.25,137.77,114.5,82.66,99.98,109.09,106.38,67.92,100.58,107.55,109.92,112.18,122.93,117.49,70.22,106.53,110.43,111.88,105.51,110.67,99.18,58.05,76.8,65.54,54.89,45.14,40.48,29.89,20.98,27.37,27.11,27.96,28.91,32.21,31.1,22.26,31.21,33.58,35.29,35.66,38.21,36.27,25.8,36.09,38.32,40.39,45.27,32.17,42.94,25.18,37.69,37.98,39.29,39.36,42.1,39.17,26.98,39.71,32.11,43.53,44,45,42.06,27.92,40.94,43.22,44.22,48.58,37.63,40.89,28.94
"17","country/region","Bulgaria","walking","България",100,101.9,99.61,100.06,117.97,128.66,99.64,105.3,98.6,104.38,109.35,135.78,144.71,112.89,108.51,110.44,114.54,113.45,132.49,149.6,110.72,113.09,113.9,97.24,100.2,118.28,127.6,104.3,110.33,105.3,112.73,125.87,158.5,150.96,126.15,124.09,124.06,126.79,120.35,141.22,150.27,116.38,112.7,116.58,129,112.06,117.39,130.03,100.06,109.52,109.41,107.28,106.61,130.98,130.53,92.8,89.7,89.06,90.51,93.22,89.76,52.27,30.53,41.08,33.04,33.02,31.87,35.5,27.04,19.15,23.95,23.97,25.17,24.09,25.34,25.2,22.63,30.34,26.9,23.67,29.5,31.4,23.97,20.88,33.13,38.77,37.96,37.29,40.69,35.5,31.65,43.87,37.87,38.12,41.56,37.06,29.05,22.38,26.1,32.51,39.27,43.87,40.44,41.08,30.39,44.21,46.5,44.04,50.01,42.92,41.56,30.17
"19","country/region","Cambodia","walking","ព្រះរាជាណាចក្រកម្ពុជា",100,98.06,99.7,98,106.81,106.84,106.98,102.84,100.7,103.34,100.77,102.84,111.88,105.81,104.47,97.56,101.44,93.49,102.2,109.25,96.36,98.63,94.46,95.93,91.56,98.6,106.78,88.38,91.62,94.23,92.06,91.79,95.33,99.77,91.39,94.39,92.79,96.33,95.99,95.73,96.73,92.79,87.32,87.78,89.02,81.51,88.15,95.36,84.35,86.82,83.31,85.81,83.74,86.25,92.46,79.77,83.51,79.11,75.87,73.87,75.4,74.57,67.12,69.86,60.98,62.35,59.25,60.71,66.15,62.12,56.11,53.47,55.54,54.67,55.44,50.2,56.07,53.97,55.57,56.94,53.6,55.87,54.11,55.17,58.01,50.03,55.31,52.3,58.85,46.3,47.6,43.52,45.49,43.09,44.69,57.64,52.5,55.84,53.47,60.45,58.14,53.91,57.08,53.64,56.38,60.75,48.33,52.77,62.25,59.28,52.1,52.14
"22","country/region","Canada","walking",NA,100,106.29,106.65,108.64,127.43,122.55,90.42,104.92,108.92,112.57,118.17,139.85,136.71,93.37,105.36,111.79,110.13,115.16,138.49,140.12,91.16,102.67,105.91,107.29,108.17,128.56,139.77,93.6,106.26,111.39,112.79,120.1,152.97,152.65,125.23,99.59,114.61,119.86,127.3,152.97,155.76,103.86,109.77,111.42,106.92,107.07,135.19,146.34,102.32,109.77,117.97,123.88,131.76,142.64,147,108.48,113.56,108.1,110.67,106.32,104.32,103,73.82,75.7,65.68,62.44,60.16,59.11,53.11,43.54,45.64,48.44,49.21,46.46,53.57,43.07,38.38,42.36,47.84,49,47.09,48.68,48.35,39.89,51.48,50.34,53.06,52.77,45.36,48.43,40.6,41.76,50.75,50.9,53.45,56.42,56.27,44.6,58.6,51.99,53.94,57.59,63.55,63.76,47.31,61.18,62.65,63.49,62.18,74.84,69.67,65.53
"24","country/region","Chile","walking",NA,100,102.58,103.13,103.74,107.87,86.73,59.44,99.53,98.22,101.48,104.03,105.78,83.2,59.55,100.85,97.6,96.02,101.29,107.44,86.87,60.33,98.79,103.85,106.43,105.25,112.31,93.48,65.7,102.72,104.7,105.16,112.07,120.99,93.08,68.1,106.39,103.2,103.6,106.98,111.69,93.75,65.96,100.87,106.68,105.07,113.44,126.14,94.7,60.64,102.1,107.23,108.74,107.85,119.14,90.39,65.37,103.23,116.27,111.48,108.83,110.85,84.49,45.26,62.42,47.54,37.5,30.19,28.53,18.83,13.13,22.91,23.13,22.76,26.48,18.08,15.84,12.76,19.39,20.33,20.93,21.23,24.07,18.6,14.9,23.62,24.91,23.62,24.52,17.93,18.14,13.69,26.48,26.11,24.78,24.85,29.64,23.92,17.44,27.8,27.92,29.19,28.57,32.79,27.92,18.53,29.59,30.76,32.47,35.1,24.15,27.77,21.48
"26","country/region","Colombia","walking",NA,100,103.15,104.44,102.96,112.65,116.71,101,97.52,102.29,100.24,98.95,113.08,117.66,98.95,91.84,96.66,87.78,100.43,105.35,116.13,97.66,93.94,96.61,103.01,97.18,111.12,124.15,94.51,94.8,95.7,95.7,97.37,109.45,117.66,93.6,94.03,95.51,95.66,96.85,107.59,127.88,105.82,100.57,92.51,95.56,92.46,102.34,114.18,89.88,83.44,87.83,91.74,95.42,99.47,121.48,94.89,83.34,91.36,82,80.53,90.69,101.43,71.69,61.72,54.08,44.63,48.16,41.81,30.26,26.73,32.27,32.22,29.79,29.69,29.26,31.93,32.36,31.17,31.26,33.22,31.93,31.26,33.46,34.84,31.6,35.94,34.75,36.42,37.85,37.47,33.32,33.7,39.05,36.95,32.7,38.71,35.42,35.42,38.33,37.61,37.9,40.53,40.81,41.81,43.82,45.49,48.4,41.43,47.35,42.86,50.64,41.1
